LABEL,X,Y,WAP1,WAP2,WAP3,WAP4,WAP5,WAP6,WAP7,WAP8,WAP9,WAP10,WAP11,WAP12,WAP13,WAP14,WAP15
16_1_5,1.5,14.8,1,3,4,3,5,6,5,4,3,2,0,1,1,3,5
16_1_3,1.5,12.5,1,3,6,4,5,6,5,4,3,2,0,1,1,3,4
16_1_1,1.5,10.2,1,2,6,6,4,5,5,4,3,2,0,1,1,1,4
16_3_5,3.5,14.8,1,2,4,3,5,6,5,4,3,2,0,1,1,3,5
16_3_3,3.5,12.5,1,3,4,3,5,6,5,4,3,2,0,1,1,3,4
16_3_1,3.5,10.2,1,2,6,4,4,5,5,4,3,2,0,1,1,2,4
16_5_5,5.5,14.8,1,2,3,5,5,7,5,4,3,2,0,1,1,3,5
16_5_3,5.5,12.5,1,2,4,3,5,6,5,4,3,2,0,1,1,3,4
16_5_1,5.5,10.2,1,3,6,4,4,4,5,4,3,2,0,1,1,3,4
16_7_5,7.5,14.8,1,2,3,5,6,6,5,4,3,2,0,1,1,3,5
16_7_3,7.5,12.5,1,2,3,3,5,6,5,4,3,2,0,1,1,3,5
16_7_1,7.5,10.2,2,2,4,4,3,4,5,4,3,2,0,1,1,3,4
16_9_5,9.5,14.8,2,2,3,5,6,6,5,4,3,2,0,1,1,3,5
16_9_3,9.5,12.5,2,2,3,5,5,6,5,4,3,2,0,1,1,3,5
16_9_1,9.5,10.2,3,2,3,3,3,5,5,4,3,2,0,1,1,3,4
39_1_5,30.7,6.1,6,5,2,1,0,1,3,2,2,4,3,8,4,2,1
39_1_3,30.7,3.8,6,5,2,1,0,1,3,2,2,4,4,6,5,2,1
39_1_1,30.7,1.5,6,5,2,1,0,1,3,2,3,4,5,7,5,3,1
39_3_5,32.9,6.1,6,5,2,1,0,1,3,2,3,3,4,7,4,2,1
39_3_3,32.9,3.8,6,5,2,1,0,1,3,2,3,4,4,7,4,2,1
39_3_1,32.9,1.5,6,5,2,1,0,1,3,2,3,4,4,6,5,3,1
39_5_5,35.2,6.1,6,5,2,1,0,1,2,2,3,3,5,7,4,2,1
39_5_3,35.2,3.8,6,5,2,1,0,1,3,2,3,4,4,8,4,2,1
39_5_1,35.2,1.5,6,5,2,1,0,1,3,2,3,4,4,6,5,2,1
40_1_5,16.6,6.1,4,3,0,1,2,3,3,3,2,2,3,3,3,1,2
40_1_3,16.6,3.8,4,3,0,1,2,3,4,4,2,2,7,4,4,1,2
40_1_1,16.6,1.5,4,3,0,1,2,3,5,4,3,2,6,5,4,1,2
40_3_5,18.6,6.1,4,3,0,1,2,3,4,3,2,2,2,5,3,1,2
40_3_3,18.6,3.8,4,3,0,1,2,3,4,4,3,2,4,4,3,1,2
40_3_1,18.6,1.5,4,3,0,1,2,3,5,3,3,2,6,4,4,1,2
40_5_5,20.6,6.1,4,3,0,1,2,3,4,4,3,2,2,5,3,1,2
40_5_3,20.6,3.8,4,3,0,1,2,3,4,4,3,2,3,5,3,1,2
40_5_1,20.6,1.5,4,3,0,1,2,3,5,3,3,2,7,4,3,1,2
41_1_7,1.4,8.2,0,1,4,5,7,8,5,6,5,3,1,2,3,1,1
41_1_5,1.4,6.0,0,1,4,5,6,7,5,5,4,2,1,2,1,2,3
41_1_3,1.4,3.8,0,1,4,5,6,7,7,6,5,3,1,2,2,3,5
41_1_1,1.4,1.6,0,1,4,5,6,7,8,7,7,4,1,2,2,4,6
41_3_7,3.4,8.2,0,1,4,5,6,8,5,4,5,4,1,2,3,1,1
41_3_5,3.4,6.0,0,1,4,5,6,7,5,5,4,3,1,2,2,2,3
41_3_3,3.4,3.8,0,1,4,5,6,7,7,8,6,3,1,2,2,3,6
41_3_1,3.4,1.6,0,1,4,5,6,7,8,7,6,4,1,2,3,4,6
41_5_7,5.4,8.2,0,1,5,7,4,5,5,4,3,4,1,2,3,1,1
41_5_5,5.4,6.0,0,1,4,5,6,7,6,5,4,3,1,2,2,2,6
41_5_3,5.4,3.8,0,1,4,5,6,7,7,7,6,4,1,2,2,4,6
41_5_1,5.4,1.6,0,1,4,5,6,7,8,7,6,4,1,2,3,4,6
43_1_5,22.6,14.8,4,3,3,2,2,4,2,1,0,1,3,3,2,2,2
43_1_3,22.6,12.5,4,4,3,2,2,3,2,1,0,1,3,3,2,2,2
43_1_1,22.6,10.2,5,4,2,2,3,3,2,1,0,1,3,5,2,2,1
43_3_5,24.6,14.8,4,4,3,2,2,4,2,1,0,1,3,3,2,2,2
43_3_3,24.6,12.5,4,4,2,2,2,4,2,1,0,1,3,3,2,2,2
43_3_1,24.6,10.2,5,4,2,2,3,3,2,1,0,1,3,5,2,2,2
43_5_5,26.6,14.8,4,4,2,2,3,4,2,1,0,1,3,3,2,2,2
43_5_3,26.6,12.5,5,4,2,2,2,4,2,1,0,1,3,3,2,2,2
43_5_1,26.6,10.2,4,3,3,2,2,3,2,1,0,1,3,5,2,2,2
43_7_5,28.6,14.8,4,4,2,2,3,4,2,1,0,1,3,3,2,2,2
43_7_3,28.6,12.5,5,4,3,2,3,4,2,1,0,1,3,3,2,2,2
43_7_1,28.6,10.2,5,3,3,2,2,4,2,1,0,1,3,5,2,2,2
45_1_5,30.6,14.8,5,5,3,3,2,3,1,0,1,2,4,3,3,3,1
45_1_3,30.6,12.5,6,5,4,3,2,3,1,0,1,2,4,4,3,3,1
45_1_1,30.6,10.2,6,5,4,2,2,3,1,0,1,2,4,4,3,3,1
45_3_5,32.6,14.8,6,5,4,3,2,2,1,0,1,2,4,3,3,3,1
45_3_3,32.6,12.5,6,5,4,3,2,3,1,0,1,2,4,4,3,3,1
45_3_1,32.6,10.2,8,5,3,2,2,3,1,0,1,2,4,4,3,2,1
45_5_5,34.6,14.8,6,5,4,3,2,2,1,0,1,2,4,3,3,3,1
45_5_3,34.6,12.5,5,4,4,2,2,2,1,0,1,2,4,4,3,3,1
45_5_1,34.6,10.2,7,5,3,2,2,2,1,0,1,2,4,4,3,2,1
45_7_5,36.6,14.8,6,5,4,2,2,2,1,0,1,2,4,3,3,3,1
45_7_3,36.6,12.5,5,4,3,2,2,2,1,0,1,2,4,4,3,3,1
45_7_1,36.6,10.2,6,6,3,3,2,2,1,0,1,2,4,4,3,2,1
46_1_5,14.6,14.8,5,4,2,3,4,4,3,2,1,0,2,2,1,1,3
46_1_3,14.6,12.5,5,2,2,3,4,4,3,2,1,0,2,4,1,1,3
46_1_1,14.6,10.2,3,2,3,3,3,4,3,2,1,0,2,3,1,1,2
46_3_5,16.6,14.8,5,2,2,3,4,4,3,2,1,0,2,2,1,1,3
46_3_3,16.6,12.5,3,2,2,3,4,4,3,2,1,0,2,4,1,1,3
46_3_1,16.6,10.2,3,3,2,3,3,4,3,2,1,0,2,3,1,1,2
46_5_5,18.6,14.8,4,2,2,3,3,4,3,2,1,0,2,2,1,1,3
46_5_3,18.6,12.5,3,2,2,3,4,4,3,2,1,0,2,4,1,1,3
46_5_1,18.6,10.2,3,3,2,3,3,4,3,2,1,0,2,3,1,1,2
46_7_5,20.6,14.8,3,2,2,4,3,4,3,2,1,0,2,2,1,1,3
46_7_3,20.6,12.5,3,3,2,2,4,4,3,2,1,0,2,4,1,1,3
46_7_1,20.6,10.2,4,3,2,2,4,5,3,2,1,0,2,4,1,1,2
47_1_5,37.3,6.1,7,6,3,2,1,0,1,2,4,4,5,8,4,2,2
47_1_3,37.3,3.8,7,6,3,2,1,0,1,3,4,4,5,9,5,3,2
47_1_1,37.3,1.5,7,6,3,2,1,0,1,3,4,5,5,8,6,3,2
47_3_5,39.3,6.1,7,6,3,2,1,0,1,3,3,4,5,8,4,2,1
47_3_3,39.3,3.8,7,6,3,2,1,0,1,2,4,4,4,8,5,3,2
47_3_1,39.3,1.5,7,6,3,2,1,0,1,3,4,5,5,9,5,3,2
47_5_5,41.3,6.1,7,6,3,2,1,0,1,3,4,4,5,9,4,2,2
47_5_3,41.3,3.8,7,6,3,2,1,0,1,3,4,4,4,8,5,3,2
47_5_1,41.3,1.5,7,6,3,2,1,0,1,2,4,4,5,9,5,3,2
47_7_5,43.3,6.1,7,6,3,2,1,0,1,2,4,5,5,9,4,2,2
47_7_3,43.3,3.8,7,6,3,2,1,0,1,3,3,4,4,8,5,3,2
47_7_1,43.3,1.5,7,6,3,2,1,0,1,3,4,4,5,9,5,3,2
51_1_7,38.8,14.6,7,6,5,3,3,1,0,1,2,3,5,4,4,4,2
51_1_5,38.8,12.5,7,5,4,3,3,1,0,1,2,3,5,5,4,4,2
51_1_3,38.8,10.4,7,7,4,4,2,1,0,1,2,3,5,5,4,3,2
51_1_1,38.8,8.2,7,6,4,3,3,1,0,2,3,4,5,6,4,1,1
51_3_7,40.8,14.6,7,6,4,3,3,1,0,1,2,3,5,4,4,4,2
51_3_5,40.8,12.5,7,5,4,4,3,1,0,1,2,3,5,5,4,4,2
51_3_3,40.8,10.4,7,7,5,3,2,1,0,1,2,3,5,5,4,3,2
51_3_1,40.8,8.2,7,6,4,4,2,1,0,1,3,4,5,6,4,1,1
51_5_7,43.1,14.6,6,5,4,4,3,1,0,1,2,3,5,4,4,4,2
51_5_5,43.1,12.5,7,6,4,4,2,1,0,1,2,3,5,5,4,4,2
51_5_3,43.1,10.4,7,7,4,3,3,1,0,1,2,3,5,5,4,3,2
51_5_1,43.1,8.2,8,6,4,3,2,1,0,1,2,4,5,5,4,1,1
53_1_5,22.6,6.1,5,4,1,0,1,2,3,3,2,2,3,6,4,2,1
53_1_3,22.6,3.8,5,4,1,0,1,2,4,2,2,3,4,6,4,2,1
53_1_1,22.6,1.5,5,4,1,0,1,2,4,2,2,3,6,4,4,2,2
53_3_5,24.6,6.1,5,4,1,0,1,2,3,3,2,3,3,5,4,1,1
53_3_3,24.6,3.8,5,4,1,0,1,2,4,2,2,2,4,6,4,2,1
53_3_1,24.6,1.5,5,4,1,0,1,2,4,2,2,2,5,6,4,2,2
53_5_5,26.6,6.1,5,4,1,0,1,2,3,2,2,3,3,5,3,1,1
53_5_3,26.6,3.8,5,4,1,0,1,2,4,2,2,3,3,6,4,2,2
53_5_1,26.6,1.5,5,4,1,0,1,2,4,3,2,3,4,6,4,2,2
53_7_5,28.6,6.1,5,4,1,0,1,2,4,2,2,3,2,6,3,1,2
53_7_3,28.6,3.8,5,4,1,0,1,2,4,3,2,3,3,5,4,1,2
53_7_1,28.6,1.5,5,4,1,0,1,2,4,3,2,3,4,6,4,2,2
57_1_6,7.3,6.6,1,0,3,4,5,6,4,4,3,2,2,3,1,1,2
57_1_4,7.3,4.9,1,0,3,4,5,6,6,7,5,3,2,4,2,2,4
57_1_2,7.3,3.2,1,0,3,4,5,6,7,6,5,3,2,4,2,3,5
57_1_1,7.3,1.6,1,0,3,4,5,6,7,6,5,4,2,3,2,3,5
57_2_6,8.5,6.6,1,0,3,4,5,6,5,5,3,2,3,3,1,1,2
57_2_4,8.5,4.9,1,0,3,4,5,6,6,7,5,3,2,3,2,3,5
57_2_2,8.5,3.2,1,0,3,4,5,6,7,6,5,4,2,3,2,3,5
57_2_1,8.5,1.6,1,0,3,4,5,6,7,7,5,4,2,3,2,3,5
61_2_1,8.3,8.2,2,1,5,4,3,4,4,3,2,1,2,2,0,0,0
61_4_1,10.3,8.2,2,1,3,3,3,4,4,3,2,1,1,2,0,0,0
61_6_1,12.3,8.2,2,2,2,3,3,4,3,3,2,1,1,2,0,0,0
61_8_1,14.3,8.2,3,2,2,2,3,4,3,3,2,1,1,2,2,0,0
61_10_1,16.3,8.2,3,2,1,2,2,3,3,3,2,1,1,4,2,0,0
61_12_1,18.3,8.2,3,2,1,2,2,3,3,2,2,1,1,4,2,0,0
61_14_1,20.3,8.2,4,3,1,2,2,3,3,2,1,1,1,4,2,0,0
62_1_1,22.6,7.9,5,5,2,1,2,3,2,2,1,2,3,4,2,0,0
62_3_1,24.6,7.9,5,5,2,1,2,3,2,2,1,2,3,5,2,0,0
62_5_1,26.6,7.9,5,4,2,1,2,3,2,2,1,2,3,6,2,0,0
62_7_1,28.6,7.9,6,4,2,1,1,2,2,1,1,2,3,6,2,0,0
62_9_1,30.6,7.9,6,5,2,1,1,2,2,1,2,2,3,6,2,0,0
62_11_1,32.6,7.9,6,5,3,2,1,2,2,1,2,2,3,6,2,0,0
62_13_1,34.6,7.9,6,5,3,2,1,2,2,1,2,3,3,7,2,0,0
62_15_1,36.6,7.9,6,5,3,2,1,1,1,1,2,3,4,7,2,0,0
63_4_7,11.4,14.9,3,3,4,4,5,5,4,3,2,1,1,3,0,2,4
63_4_5,11.4,13.1,4,3,2,4,4,6,4,3,2,1,1,2,0,2,4
63_4_3,11.4,11.3,4,3,2,4,4,5,4,3,2,1,1,2,0,2,3
63_4_1,11.4,9.5,2,1,2,2,2,3,4,3,2,1,1,2,0,0,2
63_5_7,12.7,14.9,4,3,4,4,5,5,4,3,2,1,1,3,0,2,4
63_5_5,12.7,13.1,4,3,4,4,5,5,4,3,2,1,1,2,0,2,4
63_5_3,12.7,11.3,4,1,2,4,4,5,4,3,2,1,1,2,0,2,3
63_5_1,12.7,9.5,2,1,2,2,2,3,4,3,2,1,1,2,0,2,2
